State,Year,admission_rate_per_100k,admission_rate_lag2,neighbor_admission_rate_lag1,search_PC1,search_PC2,search_PC3,log_state_population
Hawaii,2019,300.2228713315414,263.0170652485722,408.6863708548655,-2.7175337942099205,0.3338392529529874,-0.4768278544444801,14.163074623610926
Hawaii,2020,277.1843190434156,291.616482866302,410.77284130055324,-2.749613716890098,0.7843812186271877,-1.0323399683252408,14.156974600479758
Illinois,2016,598.204186353005,646.0955032373847,441.31882274078134,1.6232735655758084,-0.7691187050110375,1.188475178117589,16.366650307904457
Illinois,2017,615.4198630614513,635.3237682242468,400.4889591906786,1.2035935112332348,-0.6401395406584717,0.7125860757690841,16.36338363442165
Illinois,2018,612.1959011166092,598.204186353005,493.89760224910015,2.0450612333085965,-0.32955501772428486,-0.3239980986221014,16.359054365674034
Illinois,2019,577.089302082724,615.4198630614513,486.7296348939051,2.5830328423004105,-0.020989945559061925,-0.7363621511360333,16.354512086534815
Illinois,2020,514.3979795877349,612.1959011166092,479.6033337928052,2.585281672370488,-0.7347427315135421,-1.0096893666565383,16.348217199322896
Indiana,2016,367.586244922715,465.4322554255832,512.0019006578476,0.3381506835107701,1.1447515692180494,1.3311066657486925,15.70830590506988
Indiana,2017,418.0383628627026,430.3145970273959,472.73363416043503,0.3036882289074082,0.4875908595670336,0.863980868057815,15.711940504828672
Indiana,2018,436.6661635675312,367.586244922715,485.7407971871863,1.0662569455446231,1.1121615006498464,-0.21404767001419617,15.717391342239232
Indiana,2019,446.4411730186108,418.0383628627026,470.6657702705171,1.1290562716391148,1.8612692429493418,0.05203413874921027,15.722235764655096
Indiana,2020,413.770458506521,436.6661635675312,444.18321719724463,1.2606059898331863,0.495261255536797,-0.5039786753815773,15.7257865715432
Iowa,2016,110.11071712397192,143.05723929104047,568.606238735836,-0.7981479687494959,0.5624312398682787,0.945654370022078,14.957568596095303
Iowa,2017,607.5577641110857,144.11339995215434,525.9472751963045,-0.9158819492091813,0.4355376942979623,0.8953937113667327,14.960921823354015
Iowa,2018,606.3684561414648,110.11071712397192,535.9477315441095,-0.5182975304154323,1.505021888346184,-0.284416471767148,14.962881264266153
Iowa,2019,595.012780114926,607.5577641110857,539.9878475518403,0.3079855313788561,2.140814861120131,-0.4049511474485427,14.965954729288564
Iowa,2020,554.7545945850262,606.3684561414648,557.9735084163682,-0.12024980167439701,1.2204039132188524,-0.17630540756160573,14.967208849823507
Kansas,2016,374.1876437747363,415.25076494015394,455.8315623014439,-1.3363683856489055,0.38544932572111906,1.714132888812613,14.884686140270167
Kansas,2017,389.9148439722257,401.9628153475587,428.3239962461862,-0.5875136092468288,0.761174895788563,1.3185197338923236,14.883970121386817
Kansas,2018,372.500470346216,374.1876437747363,442.3720989701637,0.013987707298546091,1.0948799965902702,0.8501914421695159,14.884607523445611
Kansas,2019,415.43138772966745,389.9148439722257,430.3828553455659,1.3807761692067875,2.1880816111430885,0.42931709008417107,14.884568727713207
Kansas,2020,403.2527914531,372.500470346216,444.93781128745735,0.6711963399336942,1.6732083983436934,0.21172308558737235,14.88497034517283
Kentucky,2016,481.948766594014,503.7364794864922,550.557724378663,-0.016016076594961858,0.8889047078249036,1.4487770025997728,15.306233850952527
Kentucky,2017,501.617069793226,521.5475920079944,518.5612273983826,-0.102419503531036,0.9411683991975182,1.0761694717918275,15.309670045584014
Kentucky,2018,449.1212790974029,481.948766594014,531.0972818134353,0.528345507459205,1.6897706802804453,0.49350197351186287,15.311616937087315
