STATEFIP,YEAR,mental_health_clients,anxiety_cases,depression_cases,substance_cases,trauma_stress_cases,bipolar_cases,schizophrenia_cases,serious_mental_illness
37,2014,219448,37789,77060,0,38930,59961,26871,390437
37,2015,225452,44644,87229,0,43282,58042,27901,389218
37,2016,138079,20609,41795,1,18913,23685,14131,-264586
37,2017,142665,25403,54747,1,25579,30223,20452,245412
37,2018,101046,21286,39030,0,21510,19575,16043,172833
37,2019,107091,22645,41676,11,24185,20051,16273,179855
37,2020,109011,22500,41650,1,24653,19467,16114,181036
37,2021,101155,21357,37562,0,22926,18097,16359,165593
37,2022,96501,21043,35281,0,21686,17439,16338,157735
37,2023,89694,20371,32959,5,20218,16118,14707,147764
37,2024,69932,15515,25898,5,15068,12581,11205,113925
38,2013,15012,4038,4891,37,2200,1985,1660,35215
38,2014,14533,4297,4851,20,2109,1989,1708,33679
38,2015,14943,4334,4970,35,2146,1853,1715,34743
38,2016,14842,3225,3757,72,1487,1489,1562,34437
38,2017,13978,2566,2893,54,1102,1265,1446,31615
38,2018,13866,2185,2485,2,940,1106,1350,31216
38,2019,15143,3549,3428,0,1914,1038,1458,34848
38,2020,14382,3870,3621,0,2546,1073,1494,33429
38,2021,10979,3714,3324,0,2465,1132,1798,21589
38,2022,11718,3736,3034,0,1999,976,1745,24881
38,2023,10437,3556,2637,0,1157,809,1677,21200
38,2024,9990,3837,2640,0,764,763,1657,19882
39,2013,323540,25819,72782,24348,52471,47635,27186,490176
39,2014,372965,32596,86021,38260,58687,54185,29638,825159
39,2015,415094,54434,103346,36341,72860,62300,29917,914040
39,2016,430145,55571,104869,38652,77722,56295,30293,879782
39,2017,531703,89315,110388,807,98577,51921,38931,1229711
39,2018,482098,99442,128457,433,103494,56633,42138,1146371
39,2019,579276,135479,167916,406,142481,68638,48115,1183009
39,2020,515398,110590,125992,462,107555,54714,39571,1135143
39,2022,74431,21397,22223,1403,25279,7797,7679,-632623
39,2023,92622,26951,27752,1674,32309,8927,8305,-793431
39,2024,105638,32093,31219,2126,35785,10208,9336,-915758
40,2013,77409,12418,28511,7,10774,19026,10378,28708
40,2014,79751,11742,26549,2,11673,17030,9162,-291246
40,2015,74836,9879,22845,2,10550,13998,7648,-79375
40,2016,92310,13482,30837,2,13887,12892,9926,-80354
40,2017,96368,14873,32947,6,15252,11884,10258,-56062
40,2018,101831,16679,34585,0,18451,11315,10426,-16664
40,2019,106638,15669,36137,1,19507,10904,10444,-22117
40,2020,109073,16714,37557,5,20899,10586,10433,-26373
40,2021,109149,18264,37914,8,24716,10091,10518,-18105
40,2022,117894,21981,39194,8,28256,10115,10801,-53504
40,2023,125410,22084,35151,7,24816,9622,10859,-90120
40,2024,130664,24000,33997,16,25207,9618,10687,-52849
41,2013,129245,15110,21049,153,29898,9398,9609,-1163205
41,2014,120564,13446,20078,4934,29202,6542,7472,1413
41,2015,131581,20626,30181,2,36214,11163,10848,-84948
41,2016,126319,25007,30593,6576,48857,11025,11679,208370
41,2017,126493,38685,34196,27,48979,11062,12955,197354
41,2018,134743,39619,37476,12,51858,11584,12776,210145
41,2019,142930,55015,46379,22,58644,13085,13382,208216
41,2020,145434,57602,45303,30,54544,12515,13143,228679
41,2021,158881,52029,41838,2,59414,11164,12581,244130
41,2022,171650,71679,50629,28,65930,13103,13253,223871
41,2023,183132,66871,44836,3,62922,12344,13062,286875
41,2024,142422,50624,34699,29,43967,9607,11649,222203
42,2013,646605,34430,95517,77703,51326,50725,20028,635739
42,2014,615570,38721,112624,82275,52588,70719,35737,769017
42,2016,543618,54020,131073,1,65821,81364,39539,1112375
42,2017,573439,75269,145963,28,79227,74251,41393,1142225
42,2018,565437,85569,141118,22,85879,57435,40320,1144251
42,2019,586913,94745,144236,16,94902,56776,40282,1193901
42,2020,603630,99058,145628,8,96112,57475,40902,1219915
42,2021,571346,89286,134097,27,92316,53022,39574,1144482
42,2022,536139,102142,130779,24,87431,52804,39559,1047029
42,2023,524876,112368,127991,31,94174,50129,37197,1028277
42,2024,601484,124403,124717,16,97627,49156,36128,1251320
44,2013,32147,5101,7716,111,5416,5554,2495,-47316
44,2014,30732,4606,6454,96,4873,4630,2095,-66977
44,2015,32061,3867,5943,112,4276,3700,1753,-113751
44,2016,31643,6200,9912,3,6014,3545,3975,-33025
44,2017,31249,6815,10575,2,6358,3639,3961,-17773
44,2018,30383,8451,10680,5,3960,3614,4078,-18586
44,2019,31478,10292,12771,4,5120,4058,4340,20189
44,2020,30930,10145,12585,5,5274,4014,4343,20262
44,2021,29613,9455,11893,3,7945,3765,4311,18695
44,2022,30449,9958,11842,8,8414,3688,4288,19035
44,2023,28664,9301,11214,10,7827,3390,4128,25636
44,2024,29533,10047,11172,7,8594,3313,4110,27419
45,2013,79301,11777,22706,14464,12215,14221,15872,93221
45,2014,80982,13013,23636,14788,13330,14406,16057,110060
45,2015,83286,14142,24882,12129,13784,13949,15762,37771
45,2016,85254,15270,24541,10925,14127,11525,15417,53163
45,2017,85754,16213,24412,10693,15407,10859,15374,36387
45,2018,87192,17958,25661,12848,18170,11402,16486,121794
45,2019,99514,21160,29818,15201,22831,12413,17343,142007
45,2020,99755,22884,29932,15204,25245,12156,17320,143379
45,2021,96744,24879,30620,15855,26079,12349,17598,136045
45,2022,98369,27217,31363,16791,28345,12563,17502,139930
45,2023,95160,27782,29952,16779,28029,12114,17219,135162
45,2024,93158,27114,29004,17116,28565,11399,17012,131851
46,2013,14438,1009,3467,132,3355,1806,1689,9920
46,2014,14817,1115,3582,147,3493,1835,1645,10400
46,2015,15928,1224,3924,116,3800,1898,1806,8306
46,2016,16055,1260,3527,61,3831,1584,1477,11200
46,2017,15726,1409,3522,53,3556,1486,1417,12319
46,2018,16278,1608,3847,56,3942,1504,1449,14219
46,2019,16207,1636,3861,55,4083,1440,1385,14192
46,2020,15806,1694,3621,47,4120,1349,1345,13217
46,2021,15545,3397,4519,826,3602,1065,1369,14580
46,2022,18859,4602,5272,1363,4706,1222,1593,13649
46,2023,13187,3729,3382,825,3977,716,672,11250
46,2024,12605,3832,3256,634,3405,676,629,14802
47,2013,95636,21005,35277,98,12331,28525,9002,48400
47,2014,111265,22330,43203,54,14237,34486,14427,150696
47,2015,115168,17574,36614,34,11911,27499,11194,187871
47,2016,118609,15541,30978,19,11551,16202,8977,-276393
47,2017,108269,14851,27912,0,9823,15107,8896,-304409
47,2018,117555,16799,28087,0,12158,14828,8890,-417097
47,2019,112426,17637,28723,0,13987,13346,8450,-355662
47,2020,98452,16471,27004,0,13856,12487,8157,-259019
47,2021,101229,14603,27375,1,13213,12686,7997,-248299
47,2022,80776,7430,17483,0,6259,9005,6550,-282371
47,2023,87211,10612,18807,0,8007,9903,6774,-287539
47,2024,89471,10658,18307,2,8667,10015,7489,-287427
48,2013,311228,30951,75719,2,24892,78721,48970,165760
48,2014,324439,33939,77023,4,25360,77845,49354,150204
48,2015,348147,28878,62646,1,21919,56074,32423,183537
48,2016,368722,45125,88940,1,35382,68914,51062,192330
48,2017,379956,50601,94960,2,40640,69243,52436,258864
48,2018,400154,59723,98615,1,47674,69142,52057,271211
48,2019,416338,71035,104722,1,55038,73348,53980,289131
48,2020,415350,80961,108383,0,59387,73802,54063,286498
48,2021,425546,91382,116458,1,62699,76276,54111,297648
48,2022,443826,102540,113308,0,68055,74051,54186,308836
48,2023,455740,105798,115456,1,67824,72476,54665,304097
48,2024,451335,107361,113318,2,67401,70302,55205,310039
49,2013,45809,13726,14255,7,8370,7870,5575,79526
