State,Year,annual_inpatient_stays
Virginia,2017,4050100.0
Washington,2017,3090500.0
West Virginia,2017,1228400.0
Wisconsin,2017,2814950.0
Wyoming,2017,196200.0
Alaska,2018,278950.0
Arizona,2018,3557450.0
Arkansas,2018,1690700.0
California,2018,17968900.0
Colorado,2018,2321500.0
Delaware,2018,523950.0
Florida,2018,13729750.0
Georgia,2018,5151750.0
Hawaii,2018,583050.0
Illinois,2018,6976050.0
Indiana,2018,3633350.0
Iowa,2018,1592900.0
Kansas,2018,1565900.0
Kentucky,2018,2739100.0
Louisiana,2018,2955600.0
Maine,2018,632950.0
Maryland,2018,2866550.0
Massachusetts,2018,3864350.0
Michigan,2018,5922400.0
Minnesota,2018,2883050.0
Mississippi,2018,1781600.0
Missouri,2018,3964750.0
Montana,2018,527600.0
Nebraska,2018,998950.0
Nevada,2018,1637900.0
New Jersey,2018,4915950.0
New Mexico,2018,900750.0
New York,2018,11438850.0
North Carolina,2018,4997450.0
North Dakota,2018,447700.0
Ohio,2018,7352100.0
Oklahoma,2018,2025600.0
Oregon,2018,1811600.0
Pennsylvania,2018,7851450.0
Rhode Island,2018,620700.0
South Carolina,2018,2572550.0
South Dakota,2018,509000.0
Tennessee,2018,4258550.0
Texas,2018,13792000.0
Utah,2018,1176800.0
Vermont,2018,250750.0
Virginia,2018,4024350.0
Washington,2018,3072450.0
West Virginia,2018,1226900.0
Wisconsin,2018,2702300.0
Wyoming,2018,197350.0
Alaska,2019,282450.0
Arizona,2019,3504200.0
Arkansas,2019,1774900.0
California,2019,17882350.0
Colorado,2019,2271450.0
Delaware,2019,530350.0
Florida,2019,13963300.0
Georgia,2019,5202700.0
Hawaii,2019,577900.0
Illinois,2019,6646250.0
Indiana,2019,3681750.0
Iowa,2019,1580950.0
Kansas,2019,1599350.0
Kentucky,2019,2709300.0
Louisiana,2019,2979750.0
Maine,2019,635900.0
Maryland,2019,2763950.0
Massachusetts,2019,3869200.0
Michigan,2019,5851700.0
Minnesota,2019,2746800.0
Mississippi,2019,1789400.0
Missouri,2019,3944950.0
Montana,2019,517950.0
Nebraska,2019,1019150.0
Nevada,2019,1634700.0
New Jersey,2019,4358100.0
New Mexico,2019,914400.0
New York,2019,11310200.0
North Carolina,2019,5010400.0
North Dakota,2019,450750.0
Ohio,2019,7294850.0
Oklahoma,2019,2190300.0
Oregon,2019,1782550.0
Pennsylvania,2019,7624750.0
Rhode Island,2019,623000.0
South Carolina,2019,2609450.0
South Dakota,2019,517650.0
Tennessee,2019,4172100.0
Texas,2019,13831100.0
Utah,2019,1204250.0
Vermont,2019,253300.0
Virginia,2019,4134600.0
Washington,2019,3029050.0
West Virginia,2019,1178800.0
Wisconsin,2019,2665950.0
Wyoming,2019,188350.0
Alaska,2020,258550.0
Arizona,2020,3286200.0
Arkansas,2020,1598800.0
California,2020,16305450.0
Colorado,2020,2185600.0
Delaware,2020,480650.0
Florida,2020,12997350.0
Georgia,2020,4891500.0
Hawaii,2020,500300.0
Illinois,2020,6103750.0
Indiana,2020,3354600.0
Iowa,2020,1450900.0
Kansas,2020,1449650.0
Kentucky,2020,2470150.0
Louisiana,2020,2501850.0
Maine,2020,554450.0
Maryland,2020,2411150.0
Massachusetts,2020,3545750.0
Michigan,2020,5238100.0
Minnesota,2020,2452600.0
Mississippi,2020,1638600.0
Missouri,2020,3603500.0
Montana,2020,471100.0
Nebraska,2020,641450.0
Nevada,2020,1583300.0
New Jersey,2020,3907500.0
New Mexico,2020,856000.0
New York,2020,10089050.0
North Carolina,2020,4533350.0
North Dakota,2020,423400.0
Ohio,2020,6716700.0
Oklahoma,2020,1929700.0
Oregon,2020,1606800.0
Pennsylvania,2020,6956900.0
Rhode Island,2020,554050.0
South Carolina,2020,2548550.0
South Dakota,2020,486250.0
Tennessee,2020,3855650.0
Texas,2020,13130300.0
Utah,2020,1161800.0
Vermont,2020,222300.0
Virginia,2020,3747850.0
Washington,2020,2591550.0
West Virginia,2020,1077500.0
Wisconsin,2020,2459400.0
Wyoming,2020,194950.0
Alaska,2021,269550.0
Arizona,2021,3388100.0
Arkansas,2021,1649650.0
California,2021,17207400.0
Colorado,2021,2257050.0
Delaware,2021,509400.0
Florida,2021,13704200.0
Georgia,2021,5008900.0
Hawaii,2021,516500.0
Illinois,2021,6095700.0
Indiana,2021,3289950.0
Iowa,2021,1430100.0
Kansas,2021,1501800.0
Kentucky,2021,2518450.0
Louisiana,2021,2694300.0
Maine,2021,556500.0
Maryland,2021,2532650.0
Massachusetts,2021,3650750.0
Michigan,2021,5400150.0
Minnesota,2021,2489600.0
Mississippi,2021,1612300.0
Missouri,2021,3699000.0
Montana,2021,501400.0
Nebraska,2021,830800.0
Nevada,2021,0.0
New Jersey,2021,4290750.0
New Mexico,2021,884050.0
New York,2021,10245350.0
North Carolina,2021,4708100.0
North Dakota,2021,417300.0
Ohio,2021,6858300.0
Oklahoma,2021,1951050.0
Oregon,2021,1634350.0
Pennsylvania,2021,7194200.0
Rhode Island,2021,560550.0
South Carolina,2021,2624150.0
South Dakota,2021,499550.0
Tennessee,2021,3919450.0
Texas,2021,13580750.0
Utah,2021,1236250.0
Vermont,2021,239850.0
Virginia,2021,3785350.0
Washington,2021,2658350.0
West Virginia,2021,1091450.0
Wisconsin,2021,2512350.0
Wyoming,2021,208050.0
Alaska,2022,270700.0
Arizona,2022,3136650.0
Arkansas,2022,1630700.0
California,2022,16901350.0
Colorado,2022,2261550.0
Delaware,2022,511050.0
Florida,2022,13605550.0
Georgia,2022,4973000.0
Hawaii,2022,542350.0
Illinois,2022,6088600.0
Indiana,2022,3269500.0
Iowa,2022,1386100.0
Kansas,2022,1441700.0
Kentucky,2022,2448950.0
Louisiana,2022,2644450.0
Maine,2022,540400.0
Maryland,2022,2452650.0
Massachusetts,2022,3773150.0
Michigan,2022,5143550.0
Minnesota,2022,2361600.0
Mississippi,2022,1512250.0
Missouri,2022,3611000.0
Montana,2022,457600.0
Nebraska,2022,891150.0
Nevada,2022,0.0
New Jersey,2022,4210200.0
New Mexico,2022,845950.0
New York,2022,10583750.0
North Carolina,2022,4536300.0
North Dakota,2022,423300.0
Ohio,2022,6724400.0
Oklahoma,2022,1951850.0
Oregon,2022,1620600.0
Pennsylvania,2022,6786350.0
Rhode Island,2022,517200.0
South Carolina,2022,2615050.0
South Dakota,2022,480400.0
Tennessee,2022,3810750.0
Texas,2022,13598600.0
Utah,2022,1190900.0
Vermont,2022,236250.0
Virginia,2022,3811300.0
Washington,2022,2697300.0
West Virginia,2022,1092250.0
Wisconsin,2022,2382500.0
Wyoming,2022,174650.0
Alaska,2023,278950.0
Arizona,2023,3901450.0
Arkansas,2023,1676350.0
California,2023,0.0
Colorado,2023,2328850.0
Delaware,2023,509700.0
Florida,2023,14137250.0
Georgia,2023,5174350.0
Hawaii,2023,565900.0
Illinois,2023,6338850.0
Indiana,2023,3493100.0
Iowa,2023,1398000.0
Kansas,2023,1490650.0
Kentucky,2023,2459150.0
Louisiana,2023,2960550.0
Maine,2023,559950.0
Maryland,2023,2509950.0
Massachusetts,2023,3717500.0
Michigan,2023,5225650.0
Minnesota,2023,2422000.0
Mississippi,2023,1480650.0
Missouri,2023,3700850.0
Montana,2023,443800.0
Nebraska,2023,1026350.0
Nevada,2023,0.0
New Jersey,2023,4319000.0
New Mexico,2023,855850.0
New York,2023,10943300.0
North Carolina,2023,4679500.0
North Dakota,2023,429700.0
Ohio,2023,7002300.0
Oklahoma,2023,1996750.0
Oregon,2023,1704450.0
Pennsylvania,2023,7236900.0
Rhode Island,2023,540150.0
South Carolina,2023,2690600.0
South Dakota,2023,489350.0
Tennessee,2023,3934750.0
Texas,2023,13979600.0
Utah,2023,1148550.0
Vermont,2023,0.0
Virginia,2023,3915550.0
Washington,2023,2814150.0
West Virginia,2023,1145000.0
Wisconsin,2023,2485350.0
Wyoming,2023,166350.0
