fips_st,st_abbrev,popn_pums_23,phys_wkforc_23,phys_mal_23,phys_fem_23,phys_lt30_23,phys_ge60_23,pa_23,rn_23,aprn_23,dent_23,pharm_23,pt_23,ot_23,resp_ther_23,psychol_23,conslrs_23,socwk_23,med_asst_23,nurse_aide_23,home_hlth_aide_emplymt_24,phys_emplymt_24,pa_emplymt_24,rn_emplymt_24,np_emplymt_24,dent_gen_emplymt_24,pharm_emplymt_24,pt_emplymt_24,ot_emplymt_24,pa_medn_wage_24,rn_medn_wage_24,np_medn_wage_24,dent_gen_medn_wage_24,pharm_medn_wage_24,pt_medn_wage_24,ot_medn_wage_24,resp_ther_medn_wage_24,med_asst_medn_wage_24,home_hlth_aide_medn_wage_24,phys_wh_23,phys_bl_23,phys_hsp_23,phys_asn_23,rn_wh_23,rn_bl_23,rn_hsp_23,rn_asn_23,phys_degrs_23,rn_degrs_23,pa_degrs_23,aprn_degrs_23,dent_degrs_23,pharm_degrs_23,physicians_per_100k,rn_per_100k,dentists_per_100k,pharmacists_per_100k,aprn_per_100k,pa_per_100k
13,GA,10822590,27507,16735,10772,1743.0,5686.0,4534.0,102427,10998,4362.0,10079.0,6664,3272.0,3868.0,6198.0,11024,9647,19722.0,49018,46430.0,,4400.0,97410.0,10580.0,3260.0,11480.0,5480.0,3670.0,52.88,41.61,60.6,94.14,63.65,49.0,47.45,39.37,18.75,13.44,15338,4391.0,1465.0,5331.0,58069,31647.0,4174.0,5322.0,572.0,7028,288.0,322.0,96.0,296.0,254.1628205448049,946.4185560018443,40.30458513165517,93.12927866619728,101.62077654239881,41.893853504567765
15,HI,1445635,5742,3471,2271,,1470.0,,14819,892,1085.0,1584.0,790,492.0,,1197.0,1775,1783,4121.0,5784,6260.0,,440.0,13100.0,470.0,570.0,1310.0,990.0,340.0,78.38,65.54,62.95,67.3,72.46,48.43,45.46,45.52,23.47,17.77,1988,,,2716.0,3132,,1337.0,7296.0,72.0,512,,30.0,,80.0,397.1956960090202,1025.0858619222695,75.0535231922304,109.57122648524695,61.70298865204564,
16,ID,1893297,3814,2597,1217,,670.0,1390.0,16300,1991,947.0,1482.0,2066,818.0,,1145.0,3227,2067,3502.0,11596,16960.0,,1170.0,14540.0,1570.0,690.0,1750.0,1170.0,630.0,62.02,41.39,61.99,80.08,66.63,45.0,42.54,36.3,20.87,16.13,3337,,,,14337,,1209.0,,147.0,1540,74.0,55.0,,81.0,201.44752777826193,860.9320143643603,50.018565497119575,78.27615001766759,105.16046874843197,73.41690183843318
17,IL,12692653,38946,23507,15439,3098.0,8230.0,5148.0,140828,10454,8425.0,14070.0,12876,6273.0,4340.0,10487.0,16829,20588,19918.0,84637,119640.0,,3930.0,139900.0,9560.0,4820.0,12450.0,10390.0,7410.0,59.13,41.54,61.84,86.74,65.33,49.7,47.55,39.09,21.87,17.46,20944,2624.0,2385.0,11799.0,89014,14648.0,13251.0,20045.0,1329.0,16973,343.0,1137.0,307.0,507.0,306.838924848887,1109.5237536234545,66.37698202259213,110.85152962111232,82.36260772275111,40.558896552202285
18,IN,6811752,15993,11204,4789,669.0,3235.0,2929.0,80898,7133,3134.0,7469.0,5723,2954.0,3986.0,2676.0,9001,10471,12116.0,42675,54690.0,,2150.0,68950.0,7470.0,2700.0,6200.0,5180.0,3440.0,63.56,38.82,61.67,85.09,66.68,47.75,44.95,37.41,20.38,15.11,11560,768.0,752.0,2458.0,67255,6272.0,2672.0,2360.0,496.0,6861,288.0,83.0,110.0,304.0,234.78541203496547,1187.62397691519,46.00872139796047,109.64873647778134,104.71608478993363,42.99921664793433
19,IA,3195937,8491,6047,2444,395.0,1449.0,1220.0,39171,2933,2015.0,3467.0,2802,1223.0,904.0,1224.0,5000,4116,4195.0,21971,23830.0,,1200.0,33480.0,2810.0,850.0,2920.0,2800.0,1170.0,64.14,37.0,62.22,84.13,64.05,46.1,42.68,33.07,21.0,16.95,6543,,,1402.0,35322,726.0,1073.0,900.0,353.0,2706,175.0,48.0,84.0,185.0,265.6810819487368,1225.6499424112553,63.04880227613999,108.48148758877288,91.77277274239135,38.17346837562818
20,KS,2937569,6484,4194,2290,375.0,1314.0,787.0,35667,3470,962.0,2886.0,2716,1474.0,1088.0,1726.0,3408,5291,3692.0,22970,25050.0,,1010.0,32640.0,3030.0,1240.0,3560.0,2640.0,1650.0,59.83,37.53,59.95,81.78,64.59,47.52,46.63,35.38,18.79,14.03,4722,,,1047.0,29502,1568.0,2456.0,842.0,203.0,2409,44.0,145.0,,229.0,220.7267301636149,1214.167224667744,32.74816693667451,98.24450081002352,118.12488489632075,26.79086006149983
21,KY,4510725,10201,7080,3121,1001.0,1911.0,1621.0,50064,6724,2043.0,6555.0,4429,2010.0,2668.0,2125.0,5754,7540,7774.0,22719,27620.0,,1250.0,48170.0,4710.0,910.0,5310.0,3570.0,2110.0,53.03,38.42,54.74,65.17,63.82,46.88,43.87,31.57,18.63,16.74,7759,414.0,495.0,1086.0,44133,2287.0,1317.0,821.0,452.0,6535,158.0,531.0,186.0,166.0,226.14989829794547,1109.8881000282659,45.292053938114165,145.32031990422826,149.06694600092,35.93657338897849
22,LA,4621025,12193,8362,3831,915.0,2819.0,1983.0,51163,5114,2066.0,6027.0,3255,2287.0,2573.0,1692.0,6938,6874,8205.0,28176,42380.0,,1770.0,46790.0,4480.0,1140.0,5010.0,2930.0,2030.0,62.31,37.92,60.57,86.35,62.33,48.34,45.21,33.72,17.24,10.18,8115,1017.0,1033.0,1734.0,34478,12022.0,1768.0,1175.0,515.0,3251,130.0,138.0,77.0,211.0,263.8592087253369,1107.1786021499559,44.70869558160798,130.4256090369561,110.66808770781374,42.91255727895867
23,ME,1377400,4303,2379,1924,,1321.0,1153.0,15819,1850,719.0,1603.0,1208,1112.0,467.0,1097.0,2519,3494,3023.0,11300,18080.0,,930.0,16280.0,1630.0,450.0,1330.0,1780.0,1000.0,63.1,39.84,60.12,100.42,65.85,45.14,39.52,38.14,22.37,18.11,3933,,,,14444,,,,171.0,1203,45.0,20.0,61.0,61.0,312.40017424132424,1148.4681283577754,52.19979671845506,116.37868447800203,134.31102076375782,83.708436184115
24,MD,6170738,22548,12091,10457,1812.0,5004.0,3513.0,60848,6051,3324.0,7512.0,7447,3075.0,2180.0,6505.0,8947,10043,10202.0,31262,38520.0,,2920.0,48980.0,6640.0,2190.0,5850.0,4420.0,2650.0,64.47,46.55,60.35,91.03,65.17,50.16,48.98,41.14,21.67,17.78,11537,3264.0,1639.0,5220.0,32688,18297.0,2467.0,5245.0,251.0,3886,204.0,152.0,125.0,195.0,365.40199891811966,986.0733027394779,53.867138744182625,121.73584423775569,98.05958379694617,56.92998147061178
25,MA,6992395,33466,18194,15272,1996.0,7371.0,5041.0,88714,10421,5602.0,8215.0,9269,5265.0,1941.0,10273.0,17436,17519,13475.0,55493,108090.0,,4310.0,90190.0,8920.0,,7950.0,6600.0,6250.0,66.39,49.03,66.77,,65.4,49.17,47.32,46.61,23.34,19.0,22318,1063.0,2214.0,6538.0,68424,8355.0,4571.0,3970.0,668.0,6273,487.0,425.0,467.0,770.0,478.60568517653826,1268.7212321386305,80.11561131772447,117.48478168066877,149.03334265298227,72.09260918469279
26,MI,10051595,31279,18763,12516,2991.0,7085.0,5492.0,105541,9775,4956.0,11140.0,9276,5703.0,3684.0,5937.0,10410,18385,26222.0,60814,83960.0,,5490.0,104210.0,7900.0,3920.0,9640.0,7800.0,5090.0,63.45,41.19,60.4,85.13,65.42,47.58,40.61,37.24,18.67,16.06,21289,1008.0,1478.0,6018.0,84642,8768.0,3386.0,4927.0,1183.0,6642,341.0,197.0,276.0,295.0,311.1844438618946,1049.992563369296,49.30560771698422,110.82818199499683,97.2482476661664,54.63809475013667
27,MN,5713716,17034,10277,6757,1046.0,3289.0,2813.0,75629,6353,3183.0,6240.0,5968,2871.0,1677.0,5567.0,10979,12567,6315.0,48638,120390.0,,3790.0,64740.0,8690.0,2500.0,6010.0,5220.0,3360.0,66.97,48.5,61.81,100.87,74.33,47.53,40.88,42.33,23.74,17.41,12654,,,2914.0,63644,5149.0,984.0,3673.0,333.0,15983,162.0,929.0,124.0,153.0,298.1247230348866,1323.6394668548455,55.708054092993066,109.21088832556605,111.18858550197454,49.23240847112458
28,MS,2951438,5931,4052,1879,339.0,1221.0,419.0,35022,3912,1188.0,2601.0,1968,1009.0,1776.0,426.0,2369,2871,3296.0,18540,19020.0,,370.0,29400.0,4170.0,830.0,3060.0,2070.0,1120.0,50.27,35.8,57.35,61.81,63.66,46.68,44.39,29.48,16.73,11.36,4100,,,668.0,23291,9448.0,771.0,505.0,250.0,2601,53.0,93.0,37.0,131.0,200.95289143800414,1186.6080195484371,40.25156550806759,88.12653357448133,132.54555914777814,14.196469653097914
29,MO,6168181,17666,11974,5692,1593.0,3265.0,1998.0,75892,8444,2931.0,7617.0,4879,3535.0,3435.0,3282.0,7445,9736,9309.0,44141,91570.0,,1650.0,74270.0,6820.0,1980.0,7070.0,4090.0,2850.0,66.92,38.35,60.75,,66.3,45.07,45.0,35.52,18.9,14.25,12252,839.0,571.0,3258.0,61655,7401.0,1916.0,2061.0,1198.0,5651,279.0,412.0,235.0,267.0,286.40534381205737,1230.3789399176192,47.51806083511492,123.48859412523726,136.89611248437748,32.39204556416227
30,MT,1105072,3259,2223,1036,,964.0,925.0,12327,1104,683.0,1350.0,1241,577.0,391.0,561.0,2220,1268,1216.0,6479,8010.0,,610.0,10540.0,1050.0,480.0,1330.0,1230.0,510.0,63.93,39.21,64.25,76.67,65.98,44.67,40.6,38.92,21.85,15.94,2920,,,,10843,,,,,773,57.0,,,59.0,294.9129106519756,1115.4929271576875,61.805927577569605,122.16398569504973,99.90299274617401,83.70495316142296
31,NE,1965926,5363,3257,2106,630.0,799.0,1364.0,26934,2123,1168.0,3336.0,2024,1308.0,851.0,1113.0,2720,2689,2805.0,13980,11390.0,,1250.0,24180.0,2150.0,740.0,2290.0,2380.0,1500.0,61.66,38.95,61.5,80.82,64.11,46.41,41.83,37.92,22.16,16.51,4194,,,456.0,23685,803.0,1374.0,,283.0,1714,154.0,127.0,176.0,180.0,272.79765362480583,1370.0413952508895,59.412205749351706,169.69102601013466,107.98982260776856,69.38206219359223
32,NV,3141000,5999,4053,1946,290.0,1505.0,1058.0,26964,1752,1744.0,2606.0,2131,1032.0,898.0,1465.0,2675,3426,6114.0,10210,16210.0,,1190.0,27570.0,2940.0,1040.0,2330.0,1670.0,1090.0,64.16,49.03,,60.18,66.66,50.56,50.37,38.23,20.89,14.15,3296,567.0,458.0,1453.0,12171,1500.0,3174.0,8434.0,286.0,2089,99.0,185.0,184.0,130.0,190.9901305316778,858.4527220630373,55.52371856096784,82.96720789557466,55.77841451766953,33.68354027379815
33,NH,1387835,4448,2784,1664,,970.0,776.0,16353,1505,1020.0,1263.0,2314,1883.0,575.0,1218.0,2635,1917,2292.0,8974,8210.0,,1060.0,16580.0,1790.0,460.0,1090.0,1610.0,1080.0,66.02,46.55,63.67,77.9,68.02,46.73,40.86,40.2,23.1,17.6,3659,,,689.0,14191,,765.0,522.0,74.0,1951,21.0,24.0,,,320.4991947890059,1178.310101705174,73.4957685892055,91.00505463545738,108.44228600662181,55.91442786786613
34,NJ,9267014,29729,18569,11160,1791.0,8244.0,4339.0,88743,6011,5427.0,10579.0,10745,5598.0,1708.0,9075.0,11352,17068,18679.0,55835,105460.0,,2370.0,95150.0,9590.0,2710.0,10930.0,7760.0,4830.0,67.54,49.39,71.94,76.86,63.71,51.11,49.69,47.13,22.25,17.83,16755,1441.0,2156.0,8466.0,49924,13525.0,8432.0,13930.0,721.0,6232,161.0,59.0,127.0,255.0,320.8045223628668,957.622379765478,58.562553158978716,114.15759164710445,64.86447522362651,46.82198602484036
35,NM,2114768,5460,3367,2093,,1215.0,1351.0,18866,1713,1171.0,2149.0,1400,808.0,656.0,1259.0,2752,2715,4269.0,10236,37360.0,,640.0,17510.0,1870.0,660.0,1770.0,1350.0,860.0,67.3,42.43,66.56,82.56,66.15,48.62,47.7,31.95,18.75,13.17,3187,,1323.0,446.0,9995,728.0,5851.0,864.0,221.0,1528,15.0,35.0,,69.0,258.18434929978133,892.1073138992078,55.372504217956774,101.61871183978573,81.00179310449184,63.884076172894616
36,NY,19872319,88345,51831,36514,8227.0,21362.0,16238.0,216233,18188,12287.0,22109.0,21821,14313.0,6468.0,27701.0,29127,59609,37645.0,290829,623000.0,,19390.0,204120.0,20430.0,7460.0,21330.0,15810.0,10540.0,73.39,50.77,69.9,78.87,65.55,47.8,45.85,49.91,22.14,18.26,51626,4463.0,6926.0,21237.0,116621,41499.0,18595.0,31742.0,2619.0,15392,1337.0,260.0,769.0,882.0,444.5631131424571,1088.1115585956527,61.82972404982026,111.25525913709417,91.52429567983485,81.71165126727284
