State,Year,admission_rate_per_100k,admission_rate_lag2,neighbor_admission_rate_lag1,search_PC1,search_PC2,search_PC3,log_state_population
Florida,2020,471.6262298171581,498.2374438753633,216.87953165312072,2.541801098614043,-0.9858111807723844,-1.0196280373894204,16.894356756633197
Georgia,2016,218.75274653531545,242.77137073184105,417.30842849753674,1.5817139965527602,-1.0302295699035966,1.3952354373048679,16.148473729152137
Georgia,2017,224.15216005404992,241.57072822674417,379.9816058616981,0.6624216256561782,-1.144186216808332,0.5701038182521655,16.15895262086693
Georgia,2018,226.24888194551983,218.75274653531545,376.247495108281,1.572489202774864,-0.4517682814227803,-0.2529392449035893,16.16873068373923
Georgia,2019,216.87953165312072,224.15216005404992,368.91803901962845,2.5570729616962455,-0.7507584640706332,-0.7888786439135578,16.179004467681676
Georgia,2020,200.74664680737664,226.24888194551983,353.9929304712449,2.1071702306202456,-1.0742633301998983,-1.064915303877049,16.186690029724257
Hawaii,2016,286.93701732469725,321.4786605291327,394.8210262854579,-3.5136389545755797,-0.8381894380783553,-0.18590351238739242,14.172404977816406
Hawaii,2017,263.0170652485722,323.2609439641208,407.01229080593055,-4.003709526456331,-0.6292167621466744,-0.26597343952472835,14.170217666985282
Hawaii,2018,291.61648286630196,286.93701732469725,408.6863708548655,-2.4128503511361763,1.1081883189868988,-0.9479974834636365,14.168349554053378
Hawaii,2019,300.2228713315414,263.0170652485722,410.77284130055324,-2.717533794209919,0.333839252952985,-0.47682785444448106,14.163074623610926
Hawaii,2020,277.1843190434156,291.61648286630196,383.6663830875743,-2.749613716890097,0.7843812186271827,-1.032339968325243,14.156974600479758
Illinois,2016,598.204186353005,646.0955032373847,441.31882274078134,1.6232735655758075,-0.769118705011032,1.1884751781175913,16.366650307904457
Illinois,2017,615.4198630614513,635.3237682242468,400.4889591906786,1.2035935112332343,-0.6401395406584685,0.7125860757690863,16.36338363442165
Illinois,2018,612.1959011166092,598.204186353005,493.89760224910015,2.0450612333085947,-0.32955501772428675,-0.3239980986220995,16.359054365674034
Illinois,2019,577.089302082724,615.4198630614513,486.7296348939051,2.5830328423004083,-0.02098994555906545,-0.7363621511360328,16.354512086534815
Illinois,2020,514.3979795877349,612.1959011166092,479.6033337928052,2.585281672370486,-0.7347427315135466,-1.0096893666565345,16.348217199322896
Indiana,2016,367.586244922715,465.4322554255832,512.0019006578476,0.3381506835107701,1.1447515692180552,1.331106665748687,15.70830590506988
Indiana,2017,418.0383628627026,430.3145970273959,472.73363416043503,0.3036882289074082,0.4875908595670373,0.8639808680578123,15.711940504828672
Indiana,2018,436.6661635675312,367.586244922715,485.7407971871863,1.066256945544622,1.1121615006498449,-0.21404767001420055,15.717391342239232
Indiana,2019,446.4411730186108,418.0383628627026,470.6657702705171,1.1290562716391137,1.8612692429493412,0.05203413874920228,15.722235764655096
Indiana,2020,413.77045850652104,436.6661635675312,444.18321719724463,1.2606059898331852,0.49526125553679473,-0.5039786753815794,15.7257865715432
Iowa,2016,110.11071712397192,143.05723929104047,568.606238735836,-0.7981479687494953,0.5624312398682826,0.945654370022075,14.957568596095303
