Merged_RHO_DATASET
State,Year,state_population,annual_inpatient_stays,admission_rate_per_100k,suicidal thoughts_lag1,suicide hotline_lag1,self harm_lag1,mental health crisis_lag1,suicide prevention_lag1,crisis hotline_lag1,psychiatric hospital_lag1,depression help_lag1
Arkansas,2014,2968759.0,1685600.0,56777.93313637110,19.83333333333330,6.166666666666670,53.66666666666670,0.0,23.25,0.0,9.166666666666670,25.0
Arkansas,2015,2979732.0,1701850.0,57114.196847233200,12.75,0.0,61.66666666666670,0.0,9.583333333333330,0.0,8.333333333333330,24.58333333333330
Arkansas,2016,2991815.0,1701650.0,56876.84566057730,16.666666666666700,10.833333333333300,58.333333333333300,8.333333333333330,30.08333333333330,0.0,8.583333333333330,42.0
Arkansas,2017,3003855.0,1718950.0,57224.799466019500,38.16666666666670,25.916666666666700,39.91666666666670,0.0,22.08333333333330,0.0,14.0,56.66666666666670
Arkansas,2018,3012161.0,1690700.0,56129.13785152920,25.75,55.333333333333300,43.0,0.0,32.333333333333300,0.0,13.583333333333300,54.0
Arkansas,2019,3020985.0,1774900.0,58752.36057113820,29.33333333333330,60.25,36.0,0.0,38.0,15.75,16.75,54.583333333333300
Arkansas,2020,3030522.0,1598800.0,52756.58780896490,29.916666666666700,49.91666666666670,30.166666666666700,0.0,36.41666666666670,0.0,18.25,67.0
Arkansas,2021,3027127.0,1649650.0,54495.56625803940,27.75,47.75,28.08333333333330,0.0,29.5,0.0,23.08333333333330,58.75
Arkansas,2022,3047429.0,1630700.0,53510.680642600700,20.0,46.66666666666670,32.25,0.0,19.58333333333330,0.0,17.5,56.333333333333300
Arkansas,2023,3069856.0,1676350.0,54606.79588879740,23.08333333333330,50.833333333333300,36.66666666666670,0.0,35.583333333333300,7.083333333333330,23.83333333333330,62.0
California,2014,38586706.0,17233500.0,44661.75475045730,88.41666666666670,25.58333333333330,82.33333333333330,18.08333333333330,19.33333333333330,39.333333333333300,70.58333333333330,49.41666666666670
California,2015,38904296.0,17465150.0,44892.600035739000,87.0,27.0,90.75,23.666666666666700,20.75,42.25,70.5,56.66666666666670
California,2016,39149186.0,17731250.0,45291.490862670800,75.91666666666670,28.5,78.16666666666670,25.75,23.08333333333330,53.083333333333300,76.25,57.0
California,2017,39337785.0,17932800.0,45586.70499622690,71.08333333333330,29.75,62.333333333333300,28.416666666666700,20.0,42.91666666666670,69.08333333333330,58.66666666666670
California,2018,39437463.0,17968900.0,45563.02214470540,74.08333333333330,50.833333333333300,61.083333333333300,31.666666666666700,28.166666666666700,46.16666666666670,71.41666666666670,66.66666666666670
California,2019,39437610.0,17882350.0,45343.39175218780,74.91666666666670,54.5,59.333333333333300,33.833333333333300,32.916666666666700,49.75,77.58333333333330,71.0
California,2020,39368078.0,16305450.0,41417.947810406200,63.75,44.66666666666670,54.0,41.41666666666670,34.666666666666700,55.75,83.41666666666670,69.08333333333330
California,2021,39152927.0,17207400.0,43949.2046150215,52.333333333333300,46.16666666666670,58.41666666666670,49.66666666666670,30.75,59.41666666666670,76.75,69.08333333333330
California,2022,39125347.0,16901350.0,43197.95553506530,51.75,43.25,71.41666666666670,54.833333333333300,27.25,58.91666666666670,83.83333333333330,70.75
California,2023,39181667.0,,,51.583333333333300,52.5,70.5,78.08333333333330,32.916666666666700,65.58333333333330,87.25,77.25
Colorado,2014,5352637.0,2128750.0,39770.11704698080,72.33333333333330,42.333333333333300,65.91666666666670,0.0,26.08333333333330,0.0,62.5,52.16666666666670
